County,FIPS,Tax rate
01001,1,0.0922
01003,1,0.0922
01005,1,0.0922
01007,1,0.0922
01009,1,0.0922
01011,1,0.0922
01013,1,0.0922
01015,1,0.0922
01017,1,0.0922
01019,1,0.0922
01021,1,0.0922
01023,1,0.0922
01025,1,0.0922
01027,1,0.0922
01029,1,0.0922
01031,1,0.0922
01033,1,0.0922
01035,1,0.0922
01037,1,0.0922
01039,1,0.0922
01041,1,0.0922
01043,1,0.0922
01045,1,0.0922
01047,1,0.0922
01049,1,0.0922
01051,1,0.0922
01053,1,0.0922
01055,1,0.0922
01057,1,0.0922
01059,1,0.0922
01061,1,0.0922
01063,1,0.0922
01065,1,0.0922
01067,1,0.0922
01069,1,0.0922
01071,1,0.0922
01073,1,0.0922
01075,1,0.0922
01077,1,0.0922
01079,1,0.0922
01081,1,0.0922
01083,1,0.0922
01085,1,0.0922
01087,1,0.0922
01089,1,0.0922
01091,1,0.0922
01093,1,0.0922
01095,1,0.0922
01097,1,0.0922
01099,1,0.0922
01101,1,0.0922
01103,1,0.0922
01105,1,0.0922
01107,1,0.0922
01109,1,0.0922
01111,1,0.0922
01113,1,0.0922
01115,1,0.0922
01117,1,0.0922
01119,1,0.0922
01121,1,0.0922
01123,1,0.0922
01125,1,0.0922
01127,1,0.0922
01129,1,0.0922
01131,1,0.0922
01133,1,0.0922
02013,2,0.0176
02016,2,0.0176
02020,2,0.0176
02050,2,0.0176
02060,2,0.0176
02068,2,0.0176
02070,2,0.0176
02090,2,0.0176
02100,2,0.0176
02105,2,0.0176
02110,2,0.0176
02122,2,0.0176
02130,2,0.0176
02150,2,0.0176
02164,2,0.0176
02170,2,0.0176
02180,2,0.0176
02185,2,0.0176
02188,2,0.0176
02195,2,0.0176
02198,2,0.0176
02220,2,0.0176
02230,2,0.0176
02240,2,0.0176
02261,2,0.0176
02270,2,0.0176
02275,2,0.0176
02282,2,0.0176
02290,2,0.0176
04001,4,0.0840
04003,4,0.0840
04005,4,0.0840
04007,4,0.0840
04009,4,0.0840
04011,4,0.0840
04012,4,0.0840
04013,4,0.0840
04015,4,0.0840
04017,4,0.0840
04019,4,0.0840
04021,4,0.0840
04023,4,0.0840
04025,4,0.0840
04027,4,0.0840
05001,5,0.0947
05003,5,0.0947
05005,5,0.0947
05007,5,0.0947
05009,5,0.0947
05011,5,0.0947
05013,5,0.0947
05015,5,0.0947
05017,5,0.0947
05019,5,0.0947
05021,5,0.0947
05023,5,0.0947
05025,5,0.0947
05027,5,0.0947
05029,5,0.0947
05031,5,0.0947
05033,5,0.0947
05035,5,0.0947
05037,5,0.0947
05039,5,0.0947
05041,5,0.0947
05043,5,0.0947
05045,5,0.0947
05047,5,0.0947
05049,5,0.0947
05051,5,0.0947
05053,5,0.0947
05055,5,0.0947
05057,5,0.0947
05059,5,0.0947
05061,5,0.0947
05063,5,0.0947
05065,5,0.0947
05067,5,0.0947
05069,5,0.0947
05071,5,0.0947
05073,5,0.0947
05075,5,0.0947
05077,5,0.0947
05079,5,0.0947
05081,5,0.0947
05083,5,0.0947
05085,5,0.0947
05087,5,0.0947
05089,5,0.0947
05091,5,0.0947
05093,5,0.0947
05095,5,0.0947
05097,5,0.0947
05099,5,0.0947
05101,5,0.0947
05103,5,0.0947
05105,5,0.0947
05107,5,0.0947
05109,5,0.0947
05111,5,0.0947
05113,5,0.0947
05115,5,0.0947
05117,5,0.0947
05119,5,0.0947
05121,5,0.0947
05123,5,0.0947
05125,5,0.0947
05127,5,0.0947
05129,5,0.0947
05131,5,0.0947
05133,5,0.0947
05135,5,0.0947
05137,5,0.0947
05139,5,0.0947
05141,5,0.0947
05143,5,0.0947
05145,5,0.0947
05147,5,0.0947
05149,5,0.0947
06001,6,0.0866
06003,6,0.0866
06005,6,0.0866
06007,6,0.0866
06009,6,0.0866
06011,6,0.0866
06013,6,0.0866
06015,6,0.0866
06017,6,0.0866
06019,6,0.0866
06021,6,0.0866
06023,6,0.0866
06025,6,0.0866
06027,6,0.0866
06029,6,0.0866
06031,6,0.0866
06033,6,0.0866
06035,6,0.0866
06037,6,0.0866
06039,6,0.0866
06041,6,0.0866
06043,6,0.0866
06045,6,0.0866
06047,6,0.0866
06049,6,0.0866
06051,6,0.0866
06053,6,0.0866
06055,6,0.0866
06057,6,0.0866
06059,6,0.0866
06061,6,0.0866
06063,6,0.0866
06065,6,0.0866
06067,6,0.0866
06069,6,0.0866
06071,6,0.0866
06073,6,0.0866
06075,6,0.0866
06077,6,0.0866
06079,6,0.0866
06081,6,0.0866
06083,6,0.0866
06085,6,0.0866
06087,6,0.0866
06089,6,0.0866
06091,6,0.0866
06093,6,0.0866
06095,6,0.0866
06097,6,0.0866
06099,6,0.0866
06101,6,0.0866
06103,6,0.0866
06105,6,0.0866
06107,6,0.0866
06109,6,0.0866
06111,6,0.0866
06113,6,0.0866
06115,6,0.0866
08001,8,0.0765
08003,8,0.0765
08005,8,0.0765
08007,8,0.0765
08009,8,0.0765
08011,8,0.0765
08013,8,0.0765
08014,8,0.0765
08015,8,0.0765
08017,8,0.0765
08019,8,0.0765
08021,8,0.0765
08023,8,0.0765
08025,8,0.0765
08027,8,0.0765
08029,8,0.0765
08031,8,0.0765
08033,8,0.0765
08035,8,0.0765
08037,8,0.0765
08039,8,0.0765
08041,8,0.0765
08043,8,0.0765
08045,8,0.0765
08047,8,0.0765
08049,8,0.0765
08051,8,0.0765
08053,8,0.0765
08055,8,0.0765
08057,8,0.0765
08059,8,0.0765
08061,8,0.0765
08063,8,0.0765
08065,8,0.0765
08067,8,0.0765
08069,8,0.0765
08071,8,0.0765
08073,8,0.0765
08075,8,0.0765
08077,8,0.0765
08079,8,0.0765
08081,8,0.0765
08083,8,0.0765
08085,8,0.0765
08087,8,0.0765
08089,8,0.0765
08091,8,0.0765
08093,8,0.0765
08095,8,0.0765
08097,8,0.0765
08099,8,0.0765
08101,8,0.0765
08103,8,0.0765
08105,8,0.0765
08107,8,0.0765
08109,8,0.0765
08111,8,0.0765
08113,8,0.0765
08115,8,0.0765
08117,8,0.0765
08119,8,0.0765
08121,8,0.0765
08123,8,0.0765
08125,8,0.0765
09001,9,0.0635
09003,9,0.0635
09005,9,0.0635
09007,9,0.0635
09009,9,0.0635
09011,9,0.0635
09013,9,0.0635
09015,9,0.0635
10001,10,0.0000
10003,10,0.0000
10005,10,0.0000
11001,11,0.0000
12001,12,0.0705
12003,12,0.0705
12005,12,0.0705
12007,12,0.0705
12009,12,0.0705
12011,12,0.0705
12013,12,0.0705
12015,12,0.0705
12017,12,0.0705
12019,12,0.0705
12021,12,0.0705
12023,12,0.0705
12027,12,0.0705
12029,12,0.0705
12031,12,0.0705
12033,12,0.0705
12035,12,0.0705
12037,12,0.0705
12039,12,0.0705
12041,12,0.0705
12043,12,0.0705
12045,12,0.0705
12047,12,0.0705
12049,12,0.0705
12051,12,0.0705
12053,12,0.0705
12055,12,0.0705
12057,12,0.0705
12059,12,0.0705
12061,12,0.0705
12063,12,0.0705
12065,12,0.0705
12067,12,0.0705
12069,12,0.0705
12071,12,0.0705
12073,12,0.0705
12075,12,0.0705
12077,12,0.0705
12079,12,0.0705
12081,12,0.0705
12083,12,0.0705
12085,12,0.0705
12086,12,0.0705
12087,12,0.0705
12089,12,0.0705
12091,12,0.0705
12093,12,0.0705
12095,12,0.0705
12097,12,0.0705
12099,12,0.0705
12101,12,0.0705
12103,12,0.0705
12105,12,0.0705
12107,12,0.0705
12109,12,0.0705
12111,12,0.0705
12113,12,0.0705
12115,12,0.0705
12117,12,0.0705
12119,12,0.0705
12121,12,0.0705
12123,12,0.0705
12125,12,0.0705
12127,12,0.0705
12129,12,0.0705
12131,12,0.0705
12133,12,0.0705
13001,13,0.0731
13003,13,0.0731
13005,13,0.0731
13007,13,0.0731
13009,13,0.0731
13011,13,0.0731
13013,13,0.0731
13015,13,0.0731
13017,13,0.0731
13019,13,0.0731
13021,13,0.0731
13023,13,0.0731
13025,13,0.0731
13027,13,0.0731
13029,13,0.0731
13031,13,0.0731
13033,13,0.0731
13035,13,0.0731
13037,13,0.0731
13039,13,0.0731
13043,13,0.0731
13045,13,0.0731
13047,13,0.0731
13049,13,0.0731
13051,13,0.0731
13053,13,0.0731
13055,13,0.0731
13057,13,0.0731
13059,13,0.0731
13061,13,0.0731
13063,13,0.0731
13065,13,0.0731
13067,13,0.0731
13069,13,0.0731
13071,13,0.0731
13073,13,0.0731
13075,13,0.0731
13077,13,0.0731
13079,13,0.0731
13081,13,0.0731
13083,13,0.0731
13085,13,0.0731
13087,13,0.0731
13089,13,0.0731
13091,13,0.0731
13093,13,0.0731
13095,13,0.0731
13097,13,0.0731
13099,13,0.0731
13101,13,0.0731
13103,13,0.0731
13105,13,0.0731
13107,13,0.0731
13109,13,0.0731
13111,13,0.0731
13113,13,0.0731
13115,13,0.0731
13117,13,0.0731
13119,13,0.0731
13121,13,0.0731
13123,13,0.0731
13125,13,0.0731
13127,13,0.0731
13129,13,0.0731
13131,13,0.0731
13133,13,0.0731
13135,13,0.0731
13137,13,0.0731
13139,13,0.0731
13141,13,0.0731
13143,13,0.0731
13145,13,0.0731
13147,13,0.0731
13149,13,0.0731
13151,13,0.0731
13153,13,0.0731
13155,13,0.0731
13157,13,0.0731
13159,13,0.0731
13161,13,0.0731
13163,13,0.0731
13165,13,0.0731
13167,13,0.0731
13169,13,0.0731
13171,13,0.0731
13173,13,0.0731
13175,13,0.0731
13177,13,0.0731
13179,13,0.0731
13181,13,0.0731
13183,13,0.0731
13185,13,0.0731
13187,13,0.0731
13189,13,0.0731
13191,13,0.0731
13193,13,0.0731
13195,13,0.0731
13197,13,0.0731
13199,13,0.0731
13201,13,0.0731
13205,13,0.0731
13207,13,0.0731
13209,13,0.0731
13211,13,0.0731
13213,13,0.0731
13215,13,0.0731
13217,13,0.0731
13219,13,0.0731
13221,13,0.0731
13223,13,0.0731
13225,13,0.0731
13227,13,0.0731
13229,13,0.0731
13231,13,0.0731
13233,13,0.0731
13235,13,0.0731
13237,13,0.0731
13239,13,0.0731
13241,13,0.0731
13243,13,0.0731
13245,13,0.0731
13247,13,0.0731
13249,13,0.0731
13251,13,0.0731
13253,13,0.0731
13255,13,0.0731
13257,13,0.0731
13259,13,0.0731
13261,13,0.0731
13263,13,0.0731
13265,13,0.0731
13267,13,0.0731
13269,13,0.0731
13271,13,0.0731
13273,13,0.0731
13275,13,0.0731
13277,13,0.0731
13279,13,0.0731
13281,13,0.0731
13283,13,0.0731
13285,13,0.0731
13287,13,0.0731
13289,13,0.0731
13291,13,0.0731
13293,13,0.0731
13295,13,0.0731
13297,13,0.0731
13299,13,0.0731
13301,13,0.0731
13303,13,0.0731
13305,13,0.0731
13307,13,0.0731
13309,13,0.0731
13311,13,0.0731
13313,13,0.0731
13315,13,0.0731
13317,13,0.0731
13319,13,0.0731
13321,13,0.0731
15001,15,0.0444
15003,15,0.0444
15005,15,0.0444
15007,15,0.0444
15009,15,0.0444
16001,16,0.0603
16003,16,0.0603
16005,16,0.0603
16007,16,0.0603
16009,16,0.0603
16011,16,0.0603
16013,16,0.0603
16015,16,0.0603
16017,16,0.0603
16019,16,0.0603
16021,16,0.0603
16023,16,0.0603
16025,16,0.0603
16027,16,0.0603
16029,16,0.0603
16031,16,0.0603
16033,16,0.0603
16035,16,0.0603
16037,16,0.0603
16039,16,0.0603
16041,16,0.0603
16043,16,0.0603
16045,16,0.0603
16047,16,0.0603
16049,16,0.0603
16051,16,0.0603
16053,16,0.0603
16055,16,0.0603
16057,16,0.0603
16059,16,0.0603
16061,16,0.0603
16063,16,0.0603
16065,16,0.0603
16067,16,0.0603
16069,16,0.0603
16071,16,0.0603
16073,16,0.0603
16075,16,0.0603
16077,16,0.0603
16079,16,0.0603
16081,16,0.0603
16083,16,0.0603
16085,16,0.0603
16087,16,0.0603
17001,17,0.0908
17003,17,0.0908
17005,17,0.0908
17007,17,0.0908
17009,17,0.0908
17011,17,0.0908
17013,17,0.0908
17015,17,0.0908
17017,17,0.0908
17019,17,0.0908
17021,17,0.0908
17023,17,0.0908
17025,17,0.0908
17027,17,0.0908
17029,17,0.0908
17031,17,0.0908
17033,17,0.0908
17035,17,0.0908
17037,17,0.0908
17039,17,0.0908
17041,17,0.0908
17043,17,0.0908
17045,17,0.0908
17047,17,0.0908
17049,17,0.0908
17051,17,0.0908
17053,17,0.0908
17055,17,0.0908
17057,17,0.0908
17059,17,0.0908
17061,17,0.0908
17063,17,0.0908
17065,17,0.0908
17067,17,0.0908
17069,17,0.0908
17071,17,0.0908
17073,17,0.0908
17075,17,0.0908
17077,17,0.0908
17079,17,0.0908
17081,17,0.0908
17083,17,0.0908
17085,17,0.0908
17087,17,0.0908
17089,17,0.0908
17091,17,0.0908
17093,17,0.0908
17095,17,0.0908
17097,17,0.0908
17099,17,0.0908
17101,17,0.0908
17103,17,0.0908
17105,17,0.0908
17107,17,0.0908
17109,17,0.0908
17111,17,0.0908
17113,17,0.0908
17115,17,0.0908
17117,17,0.0908
17119,17,0.0908
17121,17,0.0908
17123,17,0.0908
17125,17,0.0908
17127,17,0.0908
17129,17,0.0908
17131,17,0.0908
17133,17,0.0908
17135,17,0.0908
17137,17,0.0908
17139,17,0.0908
17141,17,0.0908
17143,17,0.0908
17145,17,0.0908
17147,17,0.0908
17149,17,0.0908
17151,17,0.0908
17153,17,0.0908
17155,17,0.0908
17157,17,0.0908
17159,17,0.0908
17161,17,0.0908
17163,17,0.0908
17165,17,0.0908
17167,17,0.0908
17169,17,0.0908
17171,17,0.0908
17173,17,0.0908
17175,17,0.0908
17177,17,0.0908
17179,17,0.0908
17181,17,0.0908
17183,17,0.0908
17185,17,0.0908
17187,17,0.0908
17189,17,0.0908
17191,17,0.0908
17193,17,0.0908
17195,17,0.0908
17197,17,0.0908
17199,17,0.0908
17201,17,0.0908
17203,17,0.0908
18001,18,0.0700
18003,18,0.0700
18005,18,0.0700
18007,18,0.0700
18009,18,0.0700
18011,18,0.0700
18013,18,0.0700
18015,18,0.0700
18017,18,0.0700
18019,18,0.0700
18021,18,0.0700
18023,18,0.0700
18025,18,0.0700
18027,18,0.0700
18029,18,0.0700
18031,18,0.0700
18033,18,0.0700
18035,18,0.0700
18037,18,0.0700
18039,18,0.0700
18041,18,0.0700
18043,18,0.0700
18045,18,0.0700
18047,18,0.0700
18049,18,0.0700
18051,18,0.0700
18053,18,0.0700
18055,18,0.0700
18057,18,0.0700
18059,18,0.0700
18061,18,0.0700
18063,18,0.0700
18065,18,0.0700
18067,18,0.0700
18069,18,0.0700
18071,18,0.0700
18073,18,0.0700
18075,18,0.0700
18077,18,0.0700
18079,18,0.0700
18081,18,0.0700
18083,18,0.0700
18085,18,0.0700
18087,18,0.0700
18089,18,0.0700
18091,18,0.0700
18093,18,0.0700
18095,18,0.0700
18097,18,0.0700
18099,18,0.0700
18101,18,0.0700
18103,18,0.0700
18105,18,0.0700
18107,18,0.0700
18109,18,0.0700
18111,18,0.0700
18113,18,0.0700
18115,18,0.0700
18117,18,0.0700
18119,18,0.0700
18121,18,0.0700
18123,18,0.0700
18125,18,0.0700
18127,18,0.0700
18129,18,0.0700
18131,18,0.0700
18133,18,0.0700
18135,18,0.0700
18137,18,0.0700
18139,18,0.0700
18141,18,0.0700
18143,18,0.0700
18145,18,0.0700
18147,18,0.0700
18149,18,0.0700
18151,18,0.0700
18153,18,0.0700
18155,18,0.0700
18157,18,0.0700
18159,18,0.0700
18161,18,0.0700
18163,18,0.0700
18165,18,0.0700
18167,18,0.0700
18169,18,0.0700
18171,18,0.0700
18173,18,0.0700
18175,18,0.0700
18177,18,0.0700
18179,18,0.0700
18181,18,0.0700
18183,18,0.0700
19001,19,0.0694
19003,19,0.0694
19005,19,0.0694
19007,19,0.0694
19009,19,0.0694
19011,19,0.0694
19013,19,0.0694
19015,19,0.0694
19017,19,0.0694
19019,19,0.0694
19021,19,0.0694
19023,19,0.0694
19025,19,0.0694
19027,19,0.0694
19029,19,0.0694
19031,19,0.0694
19033,19,0.0694
19035,19,0.0694
19037,19,0.0694
19039,19,0.0694
19041,19,0.0694
19043,19,0.0694
19045,19,0.0694
19047,19,0.0694
19049,19,0.0694
19051,19,0.0694
19053,19,0.0694
19055,19,0.0694
19057,19,0.0694
19059,19,0.0694
19061,19,0.0694
19063,19,0.0694
19065,19,0.0694
19067,19,0.0694
19069,19,0.0694
19071,19,0.0694
19073,19,0.0694
19075,19,0.0694
19077,19,0.0694
19079,19,0.0694
