FIPS,HomePriceGrowth19to20,TotalDeathsPercentPopulation,UrbanDummy,TotalDeathsPercentPopulation X UrbanDummy,HomePriceGrowth18to19,ClintonVoteShare,JanAvgTemperature
01001,0.042,0.001,1,0.001,0.037,0.238,50.4 
01003,0.098,0.001,0,0.000,0.042,0.194,54.9 
01005,0.004,0.002,0,0.000,0.062,0.465,51.7 
01007,0.058,0.002,1,0.002,0.046,0.212,48.8 
01009,0.021,0.002,1,0.002,0.055,0.084,47.0 
01011,0.055,0.003,1,0.003,0.022,0.749,50.7 
01013,0.050,0.003,0,0.000,0.031,0.427,52.1 
01015,0.015,0.002,0,0.000,0.056,0.277,48.0 
01017,0.042,0.002,0,0.000,0.033,0.416,47.7 
01019,0.053,0.001,0,0.000,0.050,0.144,46.9 
01021,0.055,0.002,1,0.002,0.042,0.158,48.8 
01025,0.076,0.002,0,0.000,0.040,0.441,52.0 
01027,0.023,0.004,0,0.000,0.060,0.187,47.3 
01029,0.072,0.002,1,0.002,0.035,0.104,47.2 
01031,0.037,0.001,0,0.000,0.034,0.203,52.6 
01033,0.050,0.002,0,0.000,0.034,0.293,45.9 
01035,0.081,0.002,0,0.000,0.077,0.468,53.6 
01037,0.001,0.002,0,0.000,0.069,0.339,48.4 
01039,0.025,0.002,0,0.000,0.032,0.150,53.1 
01041,0.052,0.004,0,0.000,0.009,0.266,51.3 
01043,0.062,0.002,0,0.000,0.051,0.100,46.3 
01045,0.043,0.002,0,0.000,0.035,0.235,53.1 
01047,0.053,0.003,0,0.000,0.015,0.683,50.8 
01049,0.067,0.002,0,0.000,0.049,0.140,45.0 
01051,0.083,0.002,1,0.002,0.034,0.227,49.8 
01053,0.052,0.002,1,0.002,0.043,0.310,53.8 
01055,0.132,0.003,0,0.000,0.034,0.236,47.3 
01057,0.065,0.003,0,0.000,0.044,0.165,48.0 
01059,0.091,0.002,0,0.000,0.025,0.182,45.8 
01061,0.015,0.002,0,0.000,0.031,0.130,54.3 
01063,0.123,0.004,0,0.000,0.038,0.822,49.5 
01065,0.070,0.004,0,0.000,0.058,0.594,49.4 
01067,0.026,0.002,0,0.000,0.042,0.284,53.3 
01069,0.080,0.002,0,0.000,0.021,0.250,55.2 
01071,0.049,0.002,0,0.000,0.021,0.175,44.6 
01073,0.109,0.002,1,0.002,0.062,0.516,48.6 
01075,0.033,0.002,0,0.000,0.030,0.149,47.8 
01077,0.064,0.002,0,0.000,0.033,0.252,45.3 
01079,0.042,0.002,0,0.000,0.044,0.245,45.4 
01081,0.068,0.001,0,0.000,0.033,0.359,48.9 
01083,0.110,0.001,1,0.001,0.052,0.235,45.5 
01085,0.083,0.004,1,0.004,-0.011,0.731,51.5 
01087,0.096,0.002,0,0.000,0.101,0.828,49.8 
01089,0.155,0.001,1,0.001,0.060,0.384,45.3 
01091,0.057,0.002,0,0.000,0.008,0.511,50.4 
01093,0.048,0.003,0,0.000,0.048,0.110,46.6 
01095,0.128,0.002,0,0.000,0.065,0.139,45.9 
01097,0.096,0.002,1,0.002,0.052,0.418,54.5 
01099,0.047,0.001,1,0.001,0.099,0.422,53.2 
01101,0.084,0.002,1,0.002,0.026,0.614,51.2 
01103,0.109,0.002,0,0.000,0.057,0.222,45.8 
01107,0.067,0.002,0,0.000,0.053,0.416,48.8 
01109,0.020,0.002,0,0.000,0.026,0.384,51.4 
01111,0.043,0.002,0,0.000,0.072,0.225,47.2 
01113,0.061,0.000,1,0.000,0.045,0.497,50.8 
01115,0.081,0.002,1,0.002,0.066,0.146,47.8 
01117,0.069,0.001,1,0.001,0.058,0.227,48.5 
01119,0.042,0.002,0,0.000,0.067,0.740,50.3 
01121,0.068,0.002,0,0.000,0.050,0.363,48.1 
01123,0.051,0.003,1,0.003,0.048,0.283,47.9 
01125,0.049,0.002,1,0.002,0.048,0.384,49.2 
01127,0.036,0.003,1,0.003,0.041,0.153,47.8 
01129,0.193,0.002,0,0.000,0.041,0.278,52.4 
01131,0.096,0.002,0,0.000,0.021,0.709,51.7 
01133,0.008,0.002,0,0.000,0.032,0.085,45.8 
02020,0.063,0.001,1,0.001,0.103,0.581,3.0 
02090,0.046,0.000,0,0.000,-0.010,0.000,(13.9)
02110,0.029,0.000,0,0.000,0.037,0.000,15.8 
02122,0.057,0.000,1,0.000,0.079,0.000,4.0 
02130,0.024,0.000,0,0.000,0.047,0.000,23.9 
02150,0.033,0.000,0,0.000,0.045,0.000,14.9 
02170,0.000,0.000,1,0.000,0.010,0.000,(5.0)
02195,0.043,0.000,0,0.000,0.042,0.000,20.0 
04001,0.068,0.005,0,0.000,0.032,0.618,32.7 
04003,0.091,0.002,1,0.002,0.089,0.349,46.1 
04005,0.103,0.002,0,0.000,0.039,0.542,35.5 
04007,0.124,0.004,0,0.000,0.058,0.191,45.0 
04009,0.070,0.002,0,0.000,0.035,0.163,45.3 
04011,0.074,0.001,0,0.000,0.052,0.210,41.6 
04012,0.069,0.003,1,0.003,0.043,0.265,53.8 
04013,0.153,0.002,1,0.002,0.063,0.448,53.4 
04015,0.143,0.003,0,0.000,0.067,0.218,45.7 
04017,0.134,0.004,0,0.000,0.064,0.408,34.0 
04019,0.129,0.002,1,0.002,0.069,0.533,51.8 
04021,0.138,0.001,1,0.001,0.073,0.370,51.4 
04023,0.072,0.003,1,0.003,0.051,0.711,46.9 
04025,0.148,0.002,0,0.000,0.030,0.311,44.3 
04027,0.131,0.003,0,0.000,0.052,0.464,55.4 
05001,0.024,0.002,0,0.000,0.041,0.312,46.2 
05003,0.033,0.001,0,0.000,0.059,0.298,48.7 
05005,0.053,0.002,0,0.000,0.037,0.211,39.6 
05007,0.119,0.001,1,0.001,0.048,0.289,40.2 
05009,0.024,0.002,0,0.000,0.044,0.182,39.3 
05011,-0.010,0.003,0,0.000,0.049,0.361,48.0 
05013,0.025,0.001,0,0.000,0.046,0.282,47.2 
05015,0.024,0.001,1,0.001,0.041,0.311,39.6 
05017,0.053,0.004,0,0.000,0.013,0.563,48.1 
05019,0.024,0.002,0,0.000,0.057,0.425,46.0 
05021,0.020,0.003,0,0.000,0.103,0.231,41.5 
05023,0.028,0.003,0,0.000,0.028,0.174,42.1 
05025,0.033,0.003,0,0.000,0.087,0.216,46.4 
05027,0.036,0.002,0,0.000,0.029,0.353,47.4 
05029,-0.012,0.001,0,0.000,0.044,0.335,42.3 
05031,0.058,0.002,0,0.000,0.042,0.296,42.6 
05033,0.022,0.002,1,0.002,0.037,0.200,42.0 
05035,0.030,0.002,1,0.002,0.040,0.527,45.3 
05037,0.019,0.003,0,0.000,0.025,0.291,44.1 
05039,0.054,0.002,0,0.000,0.037,0.420,45.8 
05041,0.025,0.002,0,0.000,0.054,0.523,47.2 
05043,0.034,0.002,0,0.000,0.041,0.359,47.9 
05045,0.065,0.001,1,0.001,0.035,0.308,42.6 
05047,0.040,0.002,0,0.000,0.060,0.203,41.9 
05049,0.042,0.003,0,0.000,0.091,0.224,39.9 
05051,0.115,0.002,0,0.000,0.045,0.302,44.4 
05055,0.041,0.002,0,0.000,0.045,0.210,41.9 
05057,0.016,0.001,0,0.000,0.053,0.337,46.5 
05059,0.021,0.002,0,0.000,0.040,0.264,45.0 
05061,-0.024,0.002,1,0.002,0.052,0.289,45.3 
05063,0.038,0.003,0,0.000,0.051,0.212,41.8 
05065,0.051,0.003,0,0.000,0.046,0.204,40.3 
05067,0.016,0.002,0,0.000,0.057,0.307,42.4 
05069,0.025,0.002,0,0.000,0.044,0.609,45.6 
05071,0.046,0.001,0,0.000,0.046,0.266,41.1 
05073,0.110,0.001,0,0.000,0.009,0.361,47.8 
05075,0.053,0.002,0,0.000,0.038,0.222,41.2 
