Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,,,FIPS Match,,
AL-001,Autauga County,50.4,105,4.1,46.3,,AL,1,001,01001
AL-003,Baldwin County,54.9,105,3.9,51,,AL,1,003,01003
AL-005,Barbour County,51.7,102,3.9,47.8,,AL,1,005,01005
AL-007,Bibb County,48.8,109,4.5,44.3,,AL,1,007,01007
AL-009,Blount County,47,113,5.4,41.6,,AL,1,009,01009
AL-011,Bullock County,50.7,102,3.9,46.8,,AL,1,011,01011
AL-013,Butler County,52.1,107,4.6,47.5,,AL,1,013,01013
AL-015,Calhoun County,48,115,5.7,42.3,,AL,1,015,01015
AL-017,Chambers County,47.7,106,4,43.7,,AL,1,017,01017
AL-019,Cherokee County,46.9,113,5.5,41.4,,AL,1,019,01019
AL-021,Chilton County,48.8,106,4.1,44.7,,AL,1,021,01021
AL-023,Choctaw County,51.2,105,4.1,47.1,,AL,1,023,01023
AL-025,Clarke County,52,104,4.1,47.9,,AL,1,025,01025
AL-027,Clay County,47.3,108,4.5,42.8,,AL,1,027,01027
AL-029,Cleburne County,47.2,114,5.7,41.5,,AL,1,029,01029
AL-031,Coffee County,52.6,102,3.9,48.7,,AL,1,031,01031
AL-033,Colbert County,45.9,115,6,39.9,,AL,1,033,01033
AL-035,Conecuh County,53.6,107,4.9,48.7,,AL,1,035,01035
AL-037,Coosa County,48.4,104,3.9,44.5,,AL,1,037,01037
AL-039,Covington County,53.1,105,4.2,48.9,,AL,1,039,01039
AL-041,Crenshaw County,51.3,104,3.9,47.4,,AL,1,041,01041
AL-043,Cullman County,46.3,111,5.2,41.1,,AL,1,043,01043
AL-045,Dale County,53.1,102,4,49.1,,AL,1,045,01045
AL-047,Dallas County,50.8,105,4,46.8,,AL,1,047,01047
AL-049,DeKalb County,45,109,5,40,,AL,1,049,01049
AL-051,Elmore County,49.8,104,3.7,46.1,,AL,1,051,01051
AL-053,Escambia County,53.8,103,4.1,49.7,,AL,1,053,01053
AL-055,Etowah County,47.3,112,5.4,41.9,,AL,1,055,01055
AL-057,Fayette County,48,111,5.2,42.8,,AL,1,057,01057
AL-059,Franklin County,45.8,114,5.6,40.2,,AL,1,059,01059
AL-061,Geneva County,54.3,107,4.6,49.7,,AL,1,061,01061
AL-063,Greene County,49.5,109,4.3,45.2,,AL,1,063,01063
AL-065,Hale County,49.4,107,4.1,45.3,,AL,1,065,01065
AL-067,Henry County,53.3,104,4.2,49.1,,AL,1,067,01067
AL-069,Houston County,55.2,110,5,50.2,,AL,1,069,01069
AL-071,Jackson County,44.6,107,4.7,39.9,,AL,1,071,01071
AL-073,Jefferson County,48.6,113,5.5,43.1,,AL,1,073,01073
AL-075,Lamar County,47.8,109,5,42.8,,AL,1,075,01075
AL-077,Lauderdale County,45.3,115,5.9,39.4,,AL,1,077,01077
AL-079,Lawrence County,45.4,109,5,40.4,,AL,1,079,01079
AL-081,Lee County,48.9,100,3.3,45.6,,AL,1,081,01081
AL-083,Limestone County,45.5,114,5.6,39.9,,AL,1,083,01083
AL-085,Lowndes County,51.5,107,4.3,47.2,,AL,1,085,01085
AL-087,Macon County,49.8,101,3.3,46.5,,AL,1,087,01087
AL-089,Madison County,45.3,111,5.1,40.2,,AL,1,089,01089
AL-091,Marengo County,50.4,104,3.8,46.6,,AL,1,091,01091
AL-093,Marion County,46.6,112,5.3,41.3,,AL,1,093,01093
AL-095,Marshall County,45.9,109,4.9,41,,AL,1,095,01095
AL-097,Mobile County,54.5,104,4,50.5,,AL,1,097,01097
AL-099,Monroe County,53.2,107,4.8,48.4,,AL,1,099,01099
AL-101,Montgomery County,51.2,107,4.1,47.1,,AL,1,101,01101
AL-103,Morgan County,45.8,110,5.2,40.6,,AL,1,103,01103
AL-105,Perry County,49.3,101,3.7,45.6,,AL,1,105,01105
AL-107,Pickens County,48.8,107,4.7,44.1,,AL,1,107,01107
AL-109,Pike County,51.4,101,3.7,47.7,,AL,1,109,01109
AL-111,Randolph County,47.2,111,4.9,42.3,,AL,1,111,01111
AL-113,Russell County,50.8,104,3.8,47,,AL,1,113,01113,,,
AL-115,St. Clair County,47.8,113,5.3,42.5,,AL,1,115,01115,,,
AL-117,Shelby County,48.5,111,4.8,43.7,,AL,1,117,01117,,,
AL-119,Sumter County,50.3,109,4.5,45.8,,AL,1,119,01119,,,
AL-121,Talladega County,48.1,108,4.5,43.6,,AL,1,121,01121,,,
AL-123,Tallapoosa County,47.9,101,3.5,44.4,,AL,1,123,01123,,,
AL-125,Tuscaloosa County,49.2,112,5,44.2,,AL,1,125,01125,,,
AL-127,Walker County,47.8,112,5.2,42.6,,AL,1,127,01127,,,
AL-129,Washington County,52.4,99,3.8,48.6,,AL,1,129,01129,,,
AL-131,Wilcox County,51.7,105,4.2,47.5,,AL,1,131,01131,,,
AL-133,Winston County,45.8,111,4.9,40.9,,AL,1,133,01133,,,
AZ-001,Apache County,32.7,92,3,29.7,,AZ,4,001,04001,,,
AZ-003,Cochise County,46.1,101,2.6,43.5,,AZ,4,003,04003,,,
AZ-005,Coconino County,35.5,107,3.6,31.9,,AZ,4,005,04005,,,
AZ-007,Gila County,45,113,4.1,40.9,,AZ,4,007,04007,,,
AZ-009,Graham County,45.3,102,2.7,42.6,,AZ,4,009,04009,,,
AZ-011,Greenlee County,41.6,106,3.2,38.4,,AZ,4,011,04011,,,
AZ-012,La Paz County,53.8,100,2.6,51.2,,AZ,4,012,04012,,,
AZ-013,Maricopa County,53.4,98,2.6,50.8,,AZ,4,013,04013,,,
AZ-015,Mohave County,45.7,105,3.4,42.3,,AZ,4,015,04015,,,
AZ-017,Navajo County,34,101,3.6,30.4,,AZ,4,017,04017,,,
AZ-019,Pima County,51.8,96,2.2,49.6,,AZ,4,019,04019,,,
AZ-021,Pinal County,51.4,91,1.9,49.5,,AZ,4,021,04021,,,
AZ-023,Santa Cruz County,46.9,100,2.6,44.3,,AZ,4,023,04023,,,
AZ-025,Yavapai County,44.3,107,3.4,40.9,,AZ,4,025,04025,,,
AZ-027,Yuma County,55.4,100,2.6,52.8,,AZ,4,027,04027,,,
AR-001,Arkansas County,46.2,110,5,41.2,,AR,5,001,05001,,,
AR-003,Ashley County,48.7,111,5.1,43.6,,AR,5,003,05003,,,
AR-005,Baxter County,39.6,107,4.7,34.9,,AR,5,005,05005,,,
AR-007,Benton County,40.2,112,5.2,35,,AR,5,007,05007,,,
AR-009,Boone County,39.3,108,4.6,34.7,,AR,5,009,05009,,,
AR-011,Bradley County,48,113,5.2,42.8,,AR,5,011,05011,,,
AR-013,Calhoun County,47.2,110,4.4,42.8,,AR,5,013,05013,,,
AR-015,Carroll County,39.6,110,4.7,34.9,,AR,5,015,05015,,,
AR-017,Chicot County,48.1,107,4.3,43.8,,AR,5,017,05017,,,
AR-019,Clark County,46,109,4.4,41.6,,AR,5,019,05019,,,
AR-021,Clay County,41.5,111,5.6,35.9,,AR,5,021,05021,,,
AR-023,Cleburne County,42.1,108,4.6,37.5,,AR,5,023,05023,,,
AR-025,Cleveland County,46.4,107,4.4,42,,AR,5,025,05025,,,
AR-027,Columbia County,47.4,103,3.6,43.8,,AR,5,027,05027,,,
AR-029,Conway County,42.3,104,3.7,38.6,,AR,5,029,05029,,,
AR-031,Craighead County,42.6,113,5.6,37,,AR,5,031,05031,,,
AR-033,Crawford County,42,109,4.5,37.5,,AR,5,033,05033,,,
AR-035,Crittenden County,45.3,117,5.9,39.4,,AR,5,035,05035,,,
AR-037,Cross County,44.1,112,5.3,38.8,,AR,5,037,05037,,,
AR-039,Dallas County,45.8,105,3.8,42,,AR,5,039,05039,,,
AR-041,Desha County,47.2,113,4.9,42.3,,AR,5,041,05041,,,
AR-043,Drew County,47.9,113,5.2,42.7,,AR,5,043,05043,,,
AR-045,Faulkner County,42.6,100,3.4,39.2,,AR,5,045,05045,,,
AR-047,Franklin County,41.9,110,4.4,37.5,,AR,5,047,05047,,,
AR-049,Fulton County,39.9,113,5.7,34.2,,AR,5,049,05049,,,
