,FIPS,County,State,Population,Daily New Infected,% Currently Infected,% Total Infected,Total Cases,Total Deaths,,Total Cases as %,Total Deaths as %
1,48415,Scurry,Texas,16703,72,17.3,67.2,2441,56,,14.6% ,0.3% 
2,2013,Aleutians East,Alaska,3337,2,12,23.8,260,0,,7.8% ,0.0% 
3,51678,Lexington,Virginia,7446,39,8.3,42.9,874,18,,11.7% ,0.2% 
4,13053,Chattahoochee,Georgia,10907,54,6.7,95.3,2787,5,,25.6% ,0.0% 
5,8011,Bent,Colorado,5577,22,6.6,71.7,1328,20,,23.8% ,0.4% 
6,48051,Burleson,Texas,18443,9,6.2,39,2097,28,,11.4% ,0.2% 
7,31143,Polk,Nebraska,5213,20,5.9,28.7,386,9,,7.4% ,0.2% 
8,47151,Scott,Tennessee,22068,72,5.8,41.1,2416,39,,10.9% ,0.2% 
9,48411,San Saba,Texas,6055,2,5.1,43.9,761,17,,12.6% ,0.3% 
10,48287,Lee,Texas,17239,18,4.9,37.3,1802,36,,10.5% ,0.2% 
11,47175,Van Buren,Tennessee,5872,6,4.9,43,691,15,,11.8% ,0.3% 
12,48281,Lampasas,Texas,21428,15,4.8,30.6,1880,22,,8.8% ,0.1% 
13,42119,Union,Pennsylvania,44923,35,4.7,34.7,4876,77,,10.9% ,0.2% 
14,48293,Limestone,Texas,23437,14,4.6,36.9,2445,51,,10.4% ,0.2% 
15,2016,Aleutians West,Alaska,5634,27,4.6,19.5,360,0,,6.4% ,0.0% 
16,8025,Crowley,Colorado,6061,12,4.6,93.8,1885,14,,31.1% ,0.2% 
17,48243,Jeff Davis,Texas,2274,3,4.5,24.1,147,2,,6.5% ,0.1% 
18,48395,Robertson,Texas,17074,11,4.5,38.6,1920,29,,11.2% ,0.2% 
19,48333,Mills,Texas,4873,2,4.4,40.5,587,19,,12.0% ,0.4% 
20,48477,Washington,Texas,35882,17,4.4,33.9,3465,79,,9.7% ,0.2% 
21,48325,Medina,Texas,51584,77,4.4,30.6,3843,79,,7.4% ,0.2% 
