FIPS,HomePriceGrowth19to20,HomePriceGrowth18to19,HomePriceGrowth17to18,HomePriceGrowth17to19,HomePrices2019,Population,TotalCasesPercent,TotalDeathsPercentPopulation,MaskUse,ClintonVoteShare,StateLocalTax,JanAvgTemperature,RuralUrbanCode
1001,0.042,0.037,0.047,0.086,0.208,0.056,0.105,0.001,0.739,0.238,0.091,50.4,2
1003,0.098,0.042,0.127,0.174,0.223,0.223,0.084,0.001,0.759,0.194,0.091,54.9,3
1005,0.004,0.062,0.073,0.139,0.097,0.025,0.081,0.002,0.692,0.465,0.091,51.7,6
1007,0.058,0.046,0.048,0.097,0.126,0.022,0.104,0.002,0.850,0.212,0.091,48.8,1
1009,0.021,0.055,0.061,0.120,0.239,0.058,0.102,0.002,0.653,0.084,0.091,47,1
1011,0.055,0.022,0.012,0.034,0.064,0.01,0.112,0.003,0.786,0.749,0.091,50.7,6
1013,0.050,0.031,0.018,0.050,0.073,0.019,0.096,0.003,0.588,0.427,0.091,52.1,6
1015,0.015,0.056,0.052,0.111,0.107,0.114,0.109,0.002,0.609,0.277,0.091,48,3
1017,0.042,0.033,0.036,0.070,0.07,0.033,0.098,0.002,0.696,0.416,0.091,47.7,6
1019,0.053,0.050,0.051,0.103,0.124,0.026,0.066,0.001,0.678,0.144,0.091,46.9,6
1021,0.055,0.042,0.050,0.094,0.126,0.044,0.081,0.002,0.812,0.158,0.091,48.8,1
1025,0.076,0.040,0.090,0.133,0.092,0.024,0.141,0.002,0.698,0.441,0.091,52,7
1027,0.023,0.060,0.042,0.104,0.101,0.013,0.103,0.004,0.498,0.187,0.091,47.3,9
1029,0.072,0.035,0.040,0.077,0.114,0.015,0.089,0.002,0.585,0.104,0.091,47.2,8
1031,0.037,0.034,0.041,0.076,0.129,0.052,0.097,0.001,0.652,0.203,0.091,52.6,4
1033,0.050,0.034,0.037,0.072,0.11,0.055,0.106,0.002,0.669,0.293,0.091,45.9,3
1035,0.081,0.077,0.017,0.095,0.069,0.012,0.086,0.002,0.591,0.468,0.091,53.6,7
1037,0.001,0.069,0.098,0.174,0.11,0.011,0.070,0.002,0.647,0.339,0.091,48.4,8
1039,0.025,0.032,0.055,0.089,0.097,0.037,0.101,0.002,0.557,0.150,0.091,53.1,6
1041,0.052,0.009,0.062,0.071,0.076,0.014,0.098,0.004,0.649,0.266,0.091,51.3,8
1043,0.062,0.051,0.064,0.118,0.138,0.084,0.104,0.002,0.596,0.100,0.091,46.3,4
1045,0.043,0.035,0.041,0.077,0.096,0.049,0.090,0.002,0.680,0.235,0.091,53.1,4
1047,0.053,0.015,0.028,0.043,0.056,0.037,0.088,0.003,0.646,0.683,0.091,50.8,4
1049,0.067,0.049,0.073,0.126,0.102,0.072,0.116,0.002,0.759,0.140,0.091,45,6
1051,0.083,0.034,0.015,0.050,0.167,0.081,0.110,0.002,0.737,0.227,0.091,49.8,2
1053,0.052,0.043,0.055,0.100,0.093,0.037,0.099,0.002,0.672,0.310,0.091,53.8,6
1055,0.132,0.034,0.041,0.077,0.09,0.102,0.125,0.003,0.623,0.236,0.091,47.3,3
1057,0.065,0.044,0.058,0.104,0.078,0.016,0.118,0.003,0.662,0.165,0.091,48,6
1059,0.091,0.025,0.022,0.048,0.084,0.031,0.125,0.002,0.640,0.182,0.091,45.8,6
